timestamp,Regime
2022-01-13,Risky
2022-01-14,Risky
2022-01-18,Risky
2022-01-19,Risky
2022-01-20,Risky
2022-01-21,Bear
2022-01-24,Bear
2022-01-25,Risky
2022-01-26,Risky
2022-01-27,Risky
2022-01-28,Risky
2022-01-31,Bear
2022-02-01,Risky
2022-02-02,Risky
2022-02-03,Risky
2022-02-04,Risky
2022-02-07,Risky
2022-02-08,Risky
2022-02-09,Risky
2022-02-10,Risky
2022-02-11,Risky
2022-02-14,Risky
2022-02-15,Risky
2022-02-16,Risky
2022-02-17,Risky
2022-02-18,Risky
2022-02-22,Risky
2022-02-23,Risky
2022-02-24,Risky
2022-02-25,Bear
2022-02-28,Risky
2022-03-01,Risky
2022-03-02,Risky
2022-03-03,Risky
2022-03-04,Risky
2022-03-07,Risky
2022-03-08,Risky
2022-03-09,Risky
2022-03-10,Risky
2022-03-11,Risky
2022-03-14,Bear
2022-03-15,Risky
2022-03-16,Bear
2022-03-17,Risky
2022-03-18,Risky
2022-03-21,Risky
2022-03-22,Risky
2022-03-23,Risky
2022-03-24,Risky
2022-03-25,Risky
2022-03-28,Risky
2022-03-29,Risky
2022-03-30,Risky
2022-03-31,Risky
2022-04-01,Risky
2022-04-04,Risky
2022-04-05,Risky
2022-04-06,Risky
2022-04-07,Risky
2022-04-08,Risky
2022-04-11,Risky
2022-04-12,Risky
2022-04-13,Risky
2022-04-14,Risky
2022-04-18,Risky
2022-04-19,Risky
2022-04-20,Risky
2022-04-21,Risky
2022-04-22,Risky
2022-04-25,Risky
2022-04-26,Risky
2022-04-27,Risky
2022-04-28,Risky
2022-04-29,Risky
2022-05-02,Risky
2022-05-03,Risky
2022-05-04,Risky
2022-05-05,Risky
2022-05-06,Risky
2022-05-09,Bear
2022-05-10,Risky
2022-05-11,Risky
2022-05-12,Risky
2022-05-13,Bear
2022-05-16,Risky
2022-05-17,Risky
2022-05-18,Risky
2022-05-19,Risky
2022-05-20,Risky
2022-05-23,Risky
2022-05-24,Bear
2022-05-25,Risky
2022-05-26,Risky
